,Timestamp
0,56860.109632
1,56860.211712
2,56861.312576
3,56861.414976
4,56861.5173888
5,56866.4855808
6,56866.5868416
7,56866.6897536
8,56866.7915904
9,56866.8683264
10,56866.9833216
11,56885.864896
12,56885.967744
13,56886.0696832
14,56886.172096
15,56886.2745088
16,56886.3769088
17,56926.2647808
18,56927.544832
19,56927.648064
20,56927.7504128
21,56927.8520704
22,57012.7995904
23,57012.8765312
24,57013.9514496
25,57014.0538624
26,57014.1574784
27,57023.5275776
28,57023.62944
29,57023.7323648
30,57023.8338176
31,57023.9362304
32,57024.0386048
33,57028.9029888
34,57029.0054016
35,57029.1078016
36,57029.210368
37,57029.3143168
38,57029.3899648
39,57043.9313408
40,57044.9568896
41,57045.0578432
42,57045.1602688
43,57045.2373632
44,57062.3903616
45,57062.4928128
46,57063.4403456
47,57063.5425792
48,57063.644864
49,57076.8308608
50,57076.9332864
51,57077.0347136
52,57077.1372288
53,57077.2398208
54,57077.3419136
55,57078.6733312
56,57078.7757312
57,57078.8780288
58,57078.9804416
59,57079.0830848
60,57079.1855744
61,57088.8628096
62,57088.9662208
63,57089.9381376
64,57090.0405376
65,57090.144192
66,57093.0413696
67,57093.138304
68,57093.2414848
69,57093.3431552
70,57093.445568
71,57093.5479424
72,57094.2392064
73,57094.341632
74,57094.444096
75,57094.5464576
76,57094.6487808
77,57094.7515648
78,57182.8475776
79,57183.8207744
80,57183.9228672
81,57184.0005504
82,57184.1021056
83,57213.0835584
84,57213.1615744
85,57214.338944
86,57214.4148224
87,57214.5172352
88,57217.2312576
89,57217.334592
90,57217.4359168
91,57217.5382272
92,57217.6409216
93,57217.7445632
94,57268.3327488
95,57268.4350336
96,57268.511872
97,57268.6145792
98,57268.7176192
99,57268.820864
100,57275.6804864
101,57275.7575936
102,57276.7556224
103,57276.8579712
104,57276.9348736
105,57279.623168
106,57279.7254016
107,57279.8286848
108,57279.9302016
109,57280.0326016
110,57280.1350656
111,57288.27648
112,57288.3792
113,57288.4815104
114,57288.5837312
115,57288.6861056
116,57288.764096
117,57306.3770752
118,57306.479488
119,57307.4267392
120,57307.5295488
121,57307.6333952
122,57310.3206016
123,57310.4222208
124,57310.5261184
125,57310.6269696
126,57310.729408
127,57310.8329856
128,57467.2086784
129,57467.2926976
130,57467.4139136
131,57467.4916608
132,57467.5928064
133,57467.6950784
134,57624.3794176
135,57624.4816384
136,57625.4808192
137,57625.582848
138,57625.6861696
139,57628.2963328
140,57628.3987584
141,57628.5012864
142,57628.6038272
143,57628.7067392
144,57628.8098944
145,57675.8914688
146,57675.9928704
147,57676.0964608
148,57676.1976832
149,57676.3001856
150,57676.403456
151,57739.7930368
152,57739.895424
153,57740.8427008
154,57740.9451776
155,57741.0476032
156,57745.7583488
157,57745.8611712
158,57745.963136
159,57746.0655872
160,57746.1435008
161,57746.2450304
162,57746.833664
163,57746.9369728
164,57747.0389248
165,57747.1411072
166,57747.2432896
167,57747.3455744
168,57764.4733184
169,57764.575744
170,57765.5231232
171,57765.625728
172,57765.7278336
173,57770.4387328
174,57770.5410432
175,57770.6435328
176,57770.7458176
177,57770.8482432
178,57770.9506176
179,58448.6615424
180,58448.7638144
181,58448.8658816
182,58448.9683072
183,58449.0706944
184,58449.173056
185,58463.612736
186,58464.7647232
187,58464.8416768
188,58464.945216
189,58465.0474752
190,58540.2908928
191,58540.367424
192,58541.4939776
193,58541.5965824
194,58541.6987136
195,58544.363264
196,58544.46496
197,58544.566144
198,58544.6429568
199,58544.745344
200,58544.84832
201,58548.6624768
202,58548.76512
203,58548.8672768
204,58548.969856
205,58549.0471936
206,58549.148864
207,58599.0215936
208,58599.1246208
209,58600.4567424
210,58600.5576832
211,58600.634624
212,58603.2727552
213,58603.3742208
214,58603.4768896
215,58603.578752
216,58603.6817408
217,58603.7842176
218,58831.18176
219,58831.2838144
220,58831.3862016
221,58831.4880896
222,58831.5916288
223,58831.692608
224,58971.200704
225,58972.222016
226,58972.3247488
227,58972.4277632
228,58972.5310848
229,58987.3827072
230,58987.4811776
231,58988.453696
232,58988.5564288
233,58988.6610048
234,58991.244736
235,58991.3475072
236,58991.4499712
237,58991.5526656
238,58991.6539136
239,58991.756352
240,59006.0682112
241,59006.1706496
242,59006.2730624
243,59006.375296
244,59006.4776576
245,59006.5543168
246,59032.1826432
247,59033.2060032
248,59033.3084288
249,59033.3855872
250,59033.4877824
251,59264.6489856
252,59266.261248
253,59266.3635584
254,59266.4407296
255,59266.5433472
256,59698.0405888
257,59698.1416064
258,59699.1144192
259,59699.217088
260,59699.3213056
261,59701.9561984
262,59702.0586112
263,59702.1610496
