Time,Isosbestic,Fluorescence
48.998182,229.676,208.906
49.198179,229.685,209.114
49.398175,229.803,209.058
49.598167,229.768,209.169
49.798162,229.794,208.953
49.998156,229.842,209.137
50.198146,229.994,209.016
50.398144,229.773,208.915
50.598135,229.528,208.987
50.798129,229.835,208.991
50.998124,229.789,209.1
51.198118,229.773,208.89
51.398111,229.756,208.978
51.598105,229.92,208.848
51.798104,229.738,208.82
51.998096,229.804,208.841
52.198087,229.904,208.978
52.398085,229.746,208.979
52.59808,229.777,208.702
52.798071,229.641,208.772
52.998066,229.758,208.959
53.198063,229.741,208.788
53.398052,229.721,208.831
53.598048,229.567,208.931
53.798045,229.818,208.918
53.998037,229.868,208.896
54.198032,229.792,208.914
54.398029,229.956,208.941
54.598022,229.702,208.756
54.798013,229.669,208.955
54.998011,229.821,209.114
55.198005,229.997,208.93
55.397996,229.497,208.974
55.597996,229.6,208.997
55.797985,229.752,209.117
55.997982,229.567,208.889
56.197976,229.676,209.022
56.397968,229.602,208.977
56.597963,229.638,208.953
56.797954,229.842,208.993
56.997952,229.712,209.013
57.197944,229.728,209.107
57.39794,230.03,208.888
57.597931,229.858,209.036
57.797929,229.847,209.001
57.997922,229.776,208.825
58.197917,229.755,209.062
58.397908,229.763,209.061
58.597905,229.496,209.144
58.797901,229.653,209.007
58.997893,229.791,209.16
59.197884,229.704,208.942
59.397878,229.699,208.955
59.597875,229.66,209.057
59.797873,229.612,209.158
59.997861,229.766,208.981
60.197856,229.776,208.969
60.397852,229.679,208.881
60.597845,229.853,208.94
60.79784,229.924,209.035
60.997835,229.649,208.933
61.197827,229.663,208.764
61.397822,229.848,208.74
61.597818,229.817,208.866
61.797811,229.801,208.978
61.997805,229.85,209.001
62.197791,229.749,209.14
62.397793,229.8,209.014
62.597789,229.872,209.132
62.797787,229.781,209.036
62.997778,229.787,209.023
63.197774,229.86,208.9
63.39777,229.803,208.875
63.59776,229.891,208.824
63.79776,229.744,208.959
63.997753,230.007,208.982
64.197749,229.939,209.114
64.397746,229.764,208.993
64.597745,229.747,208.944
64.79774,229.737,209
64.997736,229.734,208.937
65.197738,229.519,209.043
65.397735,229.726,208.91
65.59773,229.874,208.953
65.79773,229.81,208.896
65.997723,229.603,209.073
66.197721,229.861,208.934
66.397717,229.707,208.814
66.597716,229.511,208.841
66.79771,229.958,209.089
66.997708,229.828,209.07
67.19771,229.859,208.942
67.397708,229.831,209.047
67.597702,229.827,208.953
67.797698,229.844,209.012
67.997699,229.791,209.01
68.197691,229.872,209.039
68.397695,229.855,209.122
68.597686,229.821,208.737
68.797686,229.85,209.074
68.997684,229.826,208.853
69.197679,229.929,208.954
69.397678,229.741,208.888
69.597677,229.663,209.03
69.797673,229.89,209.014
69.997673,229.808,208.911
70.197671,229.641,208.964
70.397666,229.662,209.091
70.597669,229.629,208.944
70.797662,229.751,208.909
70.997664,229.717,208.952
71.197659,229.758,209.029
71.397654,229.585,209.106
71.597656,229.764,209.045
71.797654,229.737,209.065
71.99764,229.76,208.836
72.197632,229.767,209.031
72.397615,229.835,208.825
72.597607,229.728,208.998
72.797597,229.87,208.866
72.997583,229.848,209.078
73.197567,229.876,208.882
73.397562,229.884,208.894
73.597545,229.836,209.07
73.797538,229.532,209.026
73.997526,229.705,209.029
74.197509,229.642,208.953
74.397502,229.825,209.074
74.597489,229.686,208.931
74.797479,229.691,209.015
74.997465,229.862,208.886
75.197453,229.608,209.06
75.397437,229.813,208.997
75.59743,229.718,208.895
75.797417,229.624,208.814
75.9974,229.607,208.988
76.197391,229.747,208.949
76.397378,229.621,209.091
76.597367,229.891,208.96
76.797354,229.86,208.843
76.997339,229.764,208.902
77.197329,229.86,208.97
77.397317,229.718,208.9
77.597306,229.637,208.835
77.797295,229.736,208.916
77.99728,229.659,208.904
78.197269,229.715,209.057
78.397254,229.735,208.818
78.597245,229.722,208.925
78.797228,229.955,208.919
78.99722,229.89,208.92
79.197205,229.638,208.934
79.397189,229.58,208.921
79.597178,229.603,208.764
79.797164,229.753,209.154
79.997169,229.577,208.815
80.197167,229.762,209.057
80.397164,229.784,208.956
80.597166,229.688,208.943
80.797165,229.715,208.879
80.997164,229.923,208.942
81.197162,229.698,208.943
81.397162,229.715,208.943
81.597163,229.9,208.906
81.797167,229.79,208.835
81.997163,229.788,208.95
82.197169,229.691,208.939
82.397168,229.766,208.993
82.597168,229.538,208.812
82.797163,229.647,208.876
82.997167,229.669,208.756
83.197166,229.575,208.897
83.397167,229.995,208.924
83.59717,229.749,208.889
83.79717,229.863,208.847
83.997167,229.61,208.672
84.19717,229.672,209.007
84.397171,229.605,208.72
84.597171,229.787,209.039
84.797172,229.62,209.003
84.997173,229.545,208.819
85.197175,229.654,209.034
85.397175,229.703,208.967
85.597173,229.547,208.665
85.797178,229.712,208.997
85.997176,229.67,208.956
86.19718,229.636,209.045
86.397175,229.678,208.82
86.59718,229.585,209.093
86.797178,229.711,208.931
86.997181,229.566,208.874
87.197184,229.669,208.908
87.397184,229.917,209.003
87.597184,229.607,208.847
87.797182,229.578,208.837
87.997176,229.713,208.86
88.197166,229.536,208.979
88.397155,229.462,209.006
88.597146,229.674,208.818
88.797132,229.828,208.896
88.997125,229.615,208.849
89.197115,229.856,208.931
89.397104,229.747,209.001
89.597097,229.657,208.9
89.797084,229.582,208.774
89.997074,229.691,208.914
90.197068,229.781,209.007
90.397055,229.836,208.972
90.597047,229.87,208.867
90.79704,229.79,208.955
90.997027,229.676,208.786
91.197013,230.027,209.111
91.397007,229.643,208.963
91.596997,229.645,208.87
91.796985,229.66,208.904
91.996973,229.537,208.668
92.196966,229.699,208.811
92.396953,229.809,209.044
92.596947,229.444,209.031
92.796935,229.569,208.943
92.996927,229.654,208.892
93.196912,229.674,208.993
93.396905,229.604,208.968
93.596892,229.726,209.063
93.796881,229.674,208.913
93.996874,229.606,208.979
94.196861,229.813,208.809
94.396856,229.574,208.835
94.596845,229.723,208.994
94.79683,229.783,208.705
94.996821,229.61,208.892
95.196811,229.866,208.933
95.396804,229.523,208.858
95.596788,229.755,208.956
95.79678,229.524,208.853
95.996779,229.831,208.867
96.196776,229.67,209.053
96.396766,229.714,208.786
96.596764,229.852,208.812
96.79676,229.765,208.883
96.996754,229.728,208.889
97.196749,229.685,208.91
97.396748,229.576,209.028
97.596745,229.608,209.039
97.796742,229.55,208.905
97.996734,229.534,208.999
98.196734,229.558,208.986
98.396729,229.621,208.873
98.596722,229.708,209.006
98.796718,229.558,209.234
98.996717,229.734,208.88
99.196713,229.615,208.788
99.39671,229.717,209.046
99.596703,229.614,208.782
99.796701,229.663,209.268
99.996696,229.771,208.909
100.196695,229.555,208.832
100.396686,229.417,209.028
100.596685,229.996,208.842
100.796678,229.699,209.145
100.996674,229.696,208.936
101.196673,229.5,208.724
101.396667,229.461,208.492
101.596668,229.694,208.731
101.796663,229.611,208.821
101.996657,229.601,208.718
102.196653,229.682,208.96
102.396651,229.628,208.973
102.596645,229.576,208.764
102.796639,229.672,208.828
102.996638,229.809,208.936
103.196635,229.681,208.939
103.396634,229.744,208.801
103.596626,229.655,208.811
103.796626,229.643,208.773
103.996617,229.529,209.08
104.196601,229.663,208.835
104.396595,229.684,208.991
104.596582,229.73,209.014
104.796575,229.9,208.902
104.996562,229.687,208.837
105.196551,229.75,208.936
105.396538,229.7,208.815
105.596532,229.548,208.966
105.796523,229.649,209.026
105.99651,229.963,208.989
106.196498,229.714,208.818
106.39649,229.586,208.721
106.596477,229.827,208.802
106.796468,229.637,208.804
106.996454,229.685,209.007
107.196447,229.603,208.881
107.396434,229.658,208.794
107.596428,229.536,208.716
107.796417,229.796,208.956
107.996401,229.535,208.718
108.19639,229.664,208.946
108.396385,229.566,208.835
108.596372,229.53,208.856
108.796363,229.586,208.762
108.996348,229.693,209.011
109.196338,229.44,208.972
109.396326,229.538,208.877
109.596315,229.663,209.085
109.796309,229.563,208.795
109.996296,229.601,208.857
110.196285,229.879,208.833
110.396273,229.581,208.823
110.596267,229.739,208.766
110.796256,229.692,208.913
110.996243,229.893,208.949
111.196233,229.668,208.867
111.396223,229.656,208.839
111.596209,229.795,209.015
111.796202,229.513,208.58
111.996192,229.858,209.055
112.196188,229.708,209.094
112.396182,229.559,209.019
112.596184,229.634,208.787
112.796173,229.577,208.927
112.996171,229.65,208.828
113.196166,229.592,208.799
113.396162,229.771,208.714
113.596158,229.731,208.724
113.796155,229.693,208.714
113.996151,229.774,209.017
114.196146,229.482,208.918
114.396137,229.774,208.804
114.596136,229.69,208.838
114.79613,229.638,208.866
114.996128,229.601,209.044
115.196122,229.546,208.848
115.396113,229.759,208.926
115.596109,229.482,208.89
115.796108,229.51,208.865
115.996101,229.553,208.934
116.196099,229.665,208.727
116.396096,229.52,208.955
116.596091,229.509,208.905
116.796084,229.804,208.755
116.99608,229.656,208.712
117.196076,229.785,209.024
117.396068,229.375,208.806
117.596066,229.77,208.667
117.79606,229.48,208.775
117.996057,229.694,208.831
118.196056,229.699,208.912
118.396052,229.758,208.857
118.596043,229.609,208.821
118.796042,229.517,208.756
118.996036,229.743,208.853
119.196034,229.671,208.908
119.396026,229.213,208.681
119.596023,229.367,208.831
119.796014,229.594,208.876
119.996005,229.52,208.693
120.195993,229.629,208.751
120.395985,229.548,208.758
120.595968,229.538,208.683
120.795958,229.56,208.97
120.995946,229.341,208.687
121.195934,229.594,208.686
121.395924,229.707,208.778
121.595906,229.539,208.878
121.795898,229.563,208.656
121.995888,229.182,208.748
122.195873,229.522,208.605
122.395859,229.489,208.777
122.595851,229.633,208.763
122.795833,229.75,208.813
122.995825,229.566,208.85
123.195815,229.752,208.957
123.395799,229.19,208.771
123.595786,229.475,208.825
123.795776,229.35,208.736
123.99576,229.513,209.002
