,Timestamp
0,67761.0405632
1,67762.1159296
2,67762.2182784
3,67762.3213056
4,67762.4233728
5,67791.9163776
6,67792.9149056
7,67792.9918848
8,67793.09408
9,67793.1969152
10,67810.6058368
11,67811.6044544
12,67811.6811392
13,67811.7837952
14,67811.886656
15,67883.6734336
16,67883.7506432
17,67885.3375872
18,67885.44
19,67885.5423616
20,67890.5350272
21,67890.6371456
22,67890.739584
23,67890.8419328
24,67890.9455616
25,67891.0212736
26,67891.5076352
27,67891.610048
28,67891.715456
29,67891.8159872
30,67891.9172352
31,67892.0211584
32,67909.072
33,67910.0945536
34,67910.1971584
35,67910.2997632
36,67910.4017408
37,67991.2268544
38,67992.22656
39,67992.3277568
40,67992.430144
41,67992.532672
42,68063.6033024
43,68064.6042624
44,68064.7041408
45,68064.8065664
46,68064.9092224
47,68131.4738176
48,68131.5762048
49,68133.2403456
50,68133.3428096
51,68133.4459008
52,68135.979712
53,68136.0832256
54,68136.184832
55,68136.2870272
56,68136.3896448
57,68136.4918144
58,68136.9801856
59,68137.0551296
60,68137.1578624
61,68137.2599296
62,68137.3622528
63,68137.46464
64,68149.497856
65,68150.496
66,68150.5735168
67,68150.675904
68,68150.779712
69,68211.2240384
70,68211.3260416
71,68212.3244672
72,68212.4280192
73,68212.530048
74,68215.346624
75,68215.4227584
76,68215.5247488
77,68215.62784
78,68215.7324288
79,68215.8327552
80,68216.318336
81,68216.4210944
82,68216.5251456
83,68216.6268032
84,68216.728
85,68216.8313472
86,68227.711168
87,68227.8137856
88,68228.7870336
89,68228.888896
90,68228.9917568
91,68236.1086336
92,68236.2118016
93,68236.2881664
94,68236.3904
95,68236.492672
96,68236.5954176
97,68238.7203072
98,68238.822784
99,68238.9254016
100,68239.0283264
101,68239.1296384
102,68239.2323328
103,68256.4878848
104,68256.5901312
105,68257.5631104
106,68257.6654592
107,68257.7681024
108,68260.7120384
109,68260.7892736
110,68260.8917376
111,68260.9939456
112,68261.0971776
113,68261.198528
114,68261.6853632
115,68261.7873152
116,68261.8896896
117,68261.9924352
118,68262.0962304
119,68262.1713152
120,68271.6705408
121,68271.7720064
122,68272.7721856
123,68272.8729344
124,68272.97536
125,68286.6212096
126,68286.7235456
127,68286.8259072
128,68286.9036544
129,68287.005248
130,68287.1078144
131,68288.107584
132,68288.2086784
133,68288.3116416
134,68288.413248
135,68288.515968
136,68288.618304
137,68296.4265856
138,68296.5290624
139,68297.5277696
140,68297.629888
141,68297.7068672
142,68304.6966912
143,68304.7984128
144,68304.900864
145,68305.0033408
146,68305.1066624
147,68305.2088448
148,68307.076992
149,68307.1796992
150,68307.2819968
151,68307.3842048
152,68307.4866048
153,68307.589312
154,68321.6448
155,68321.7468672
156,68322.8478976
157,68322.9505024
158,68323.0527872
159,68325.6903168
160,68325.79232
161,68325.8944896
162,68325.9972608
163,68326.099264
164,68326.201664
165,68326.6879872
166,68326.7655296
167,68326.8674432
168,68326.9696256
169,68327.0720768
