,Timestamps
227612,61429.95332
227715,61432.59004
227719,61432.69267
227723,61432.79493
227727,61432.89787
227731,61432.99997
227834,61435.6367
227838,61435.7398
227842,61435.84165
227846,61435.94396
227850,61436.04855
227854,61436.1489
238044,61697.0347
238087,61698.13677
238091,61698.23837
238095,61698.34048
238198,61700.97773
238201,61701.05434
238205,61701.15709
238209,61701.25958
238213,61701.36187
238590,61711.01358
238594,61711.1159
238597,61711.19364
238601,61711.29533
238605,61711.3975
238609,61711.50012
238880,61718.4382
238884,61718.54054
238922,61719.51347
238926,61719.61615
238930,61719.71908
238934,61719.82067
240351,61756.09911
240355,61756.20136
240396,61757.25143
240400,61757.35475
240404,61757.45586
240408,61757.55823
241796,61793.09453
241835,61794.09254
241839,61794.19507
241843,61794.29796
241946,61796.93441
241949,61797.01123
241953,61797.11386
241957,61797.21741
241961,61797.31855
242306,61806.15146
242310,61806.25373
242314,61806.3564
242318,61806.45896
242322,61806.56093
242326,61806.66323
243796,61844.29852
243834,61845.27132
243838,61845.37425
243842,61845.47617
244107,61852.26081
244111,61852.36334
244115,61852.46583
244118,61852.54275
244122,61852.64471
287425,62961.29578
287429,62961.39823
287433,62961.50232
287437,62961.60365
287440,62961.67974
287444,62961.78235
289217,63007.17568
289260,63008.27599
289264,63008.37856
289268,63008.48116
289369,63011.06683
289373,63011.16899
289377,63011.27148
289381,63011.37348
289384,63011.45036
289418,63012.32204
289422,63012.42317
289426,63012.52559
289430,63012.62796
289434,63012.73052
289438,63012.83533
290020,63027.7356
290060,63028.75732
290064,63028.85978
290068,63028.96218
290253,63033.69857
290257,63033.80102
290261,63033.90346
290265,63034.00607
290269,63034.10883
290310,63035.15804
290314,63035.26112
290318,63035.36271
290322,63035.46551
290326,63035.56781
290330,63035.67039
292442,63089.74171
292481,63090.74051
292484,63090.81894
292488,63090.92056
292594,63093.63343
292598,63093.73568
292601,63093.81298
292605,63093.91547
292609,63094.01757
316266,63699.68772
316270,63699.79009
316274,63699.89276
316278,63699.99489
316282,63700.09768
316286,63700.20243
317468,63730.46166
317507,63731.46062
317511,63731.56264
317515,63731.66476
317619,63734.32742
317623,63734.42993
317627,63734.53256
317631,63734.63615
317635,63734.73702
