,Timestamp
0,48868.8442752
1,48868.9465472
2,48870.1502464
3,48870.2521984
4,48870.3546496
5,48875.323008
6,48875.4237952
7,48875.526784
8,48875.6288
9,48875.7055616
10,48875.8079744
11,48885.8949504
12,48885.9976832
13,48886.1026944
14,48886.2021248
15,48886.3045632
16,48886.4069504
17,48921.6351744
18,48921.7124352
19,48922.915392
20,48923.0176768
21,48923.1207808
22,48925.7826816
23,48925.8853376
24,48925.9886464
25,48926.0899072
26,48926.192256
27,48926.2698752
28,48926.7554944
29,48926.8579584
30,48926.9603456
31,48927.0627584
32,48927.1652096
33,48927.267584
34,48941.7583616
35,48941.860608
36,48942.8358144
37,48942.9361408
38,48943.0386048
39,48945.7014784
40,48945.7781248
41,48945.8802176
42,48945.9826944
43,48946.0850944
44,48946.187328
45,48946.67456
46,48946.7780096
47,48946.8788352
48,48946.983296
49,48947.0836992
50,48947.1859712
51,49004.0733056
52,49005.507008
53,49005.6094976
54,49005.7122048
55,49005.7887104
56,49036.1268352
57,49037.3823616
58,49037.483584
59,49037.5860224
60,49037.688448
61,49059.7572224
62,49060.9095936
63,49060.9861504
64,49061.0885504
65,49061.1909504
66,49100.3883776
67,49101.488256
68,49101.5909888
69,49101.6930816
70,49101.7970816
71,49134.822208
72,49134.9243904
73,49135.9228416
74,49136.0251904
75,49136.1292672
76,49138.842048
77,49138.9438848
78,49139.046336
79,49139.1487744
80,49139.2510336
81,49139.3278336
82,49139.9424128
83,49140.0453376
84,49140.148096
85,49140.2502016
86,49140.3519872
87,49140.4544512
88,49231.1361024
89,49231.2385152
90,49232.3394048
91,49232.4417664
92,49232.5442304
93,49235.1305728
94,49235.2354048
95,49235.3347968
96,49235.4382336
97,49235.5404928
98,49235.6420096
99,49236.1284864
100,49236.231168
101,49236.308992
102,49236.410112
103,49236.5125376
104,49236.6150272
105,49255.179392
106,49255.2787072
107,49256.405376
108,49256.5076736
109,49256.610368
110,49259.3237632
111,49259.4261504
112,49259.5285632
113,49259.6310144
114,49259.7341312
115,49259.8358016
116,49260.7574784
117,49260.859904
118,49260.962304
119,49261.0647168
120,49261.16736
121,49261.2699904
122,49284.081088
123,49285.079232
124,49285.1843328
125,49285.2840576
126,49285.3866112
127,49331.213888
128,49331.3163776
129,49332.3147776
130,49332.4194304
131,49332.51968
132,49335.0541184
133,49335.1569152
134,49335.2333312
135,49335.336576
136,49335.4381312
137,49335.5419904
138,49336.283008
139,49336.386304
140,49336.4878592
141,49336.5902336
142,49336.692864
143,49336.7694464
144,49350.2888576
145,49350.38976
146,49351.3881088
147,49351.4919936
148,49351.5936
149,49356.40608
150,49356.5084928
151,49356.612608
152,49356.7147776
153,49356.8171008
154,49356.9184512
155,49362.5261824
156,49362.62752
157,49362.7297792
158,49362.8321536
159,49362.934528
160,49363.0380416
161,49448.470528
162,49449.4945792
163,49449.5969024
164,49449.6738432
165,49449.7761024
166,49503.6432384
167,49503.7448832
168,49504.7177088
169,49504.8201344
170,49504.9225344
171,49507.4061312
172,49507.508736
173,49507.610816
174,49507.7131648
175,49507.8155392
176,49507.9179648
177,49508.4046208
178,49508.5075968
179,49508.6110336
180,49508.7116672
181,49508.8141184
182,49508.8908416
183,49555.4892672
184,49555.5632512
185,49556.5619968
186,49556.6646272
187,49556.766336
188,49559.5060864
189,49559.6084864
190,49559.7105664
191,49559.812992
192,49559.9159808
193,49560.0180352
194,49560.60672
195,49560.709056
196,49560.8118912
197,49560.9140224
198,49561.0163072
199,49561.1210112
200,49626.2754688
201,49627.6072064
202,49627.7094656
203,49627.813056
204,49627.9148672
205,49755.7700224
206,49757.2803584
207,49757.3836544
208,49757.48544
209,49757.5877888
210,49774.3072256
211,49775.3043456
212,49775.4075648
213,49775.5089408
214,49775.5857024
215,49840.5888768
216,49841.7413888
217,49841.8437504
218,49841.9457664
219,49842.048192
220,49854.234688
221,49855.2844416
222,49855.387072
223,49855.4907008
224,49855.5917312
225,49978.071168
226,49978.17376
227,49979.5050496
228,49979.6071296
229,49979.7096832
230,49982.475904
231,49982.5769984
232,49982.6794112
233,49982.7818624
234,49982.8842368
235,49982.9879424
236,49983.7802752
237,49983.8830208
238,49983.9875584
239,49984.0874752
240,49984.190208
241,49984.2939264
242,50021.6712192
243,50021.7734912
244,50022.7720576
245,50022.8743808
246,50022.976768
247,50025.5881856
248,50025.6908416
249,50025.793024
250,50025.8953728
251,50025.9982464
252,50026.1011328
253,50026.5881856
254,50026.6890496
255,50026.7914624
256,50026.8947968
257,50026.9708032
258,50027.0731008
259,50060.6883968
260,50060.7652352
261,50062.0452864
262,50062.1478144
263,50062.250816
264,50064.861824
265,50064.9638784
266,50065.0424704
267,50065.1693056
268,50065.24608
269,50065.3480192
270,50065.8351232
271,50065.9373696
272,50066.0393984
273,50066.1419904
274,50066.2455808
275,50066.3463808
276,50089.0052096
277,50089.1065344
278,50090.0794368
279,50090.18176
280,50090.284544
281,50092.8958976
282,50092.9980288
283,50093.1003392
284,50093.2032128
285,50093.3058304
286,50093.4094208
287,50093.8940288
288,50093.996416
289,50094.0735232
290,50094.1783168
291,50094.2780288
292,50094.381248
293,50150.2182784
294,50150.3218944
295,50151.5496192
296,50151.6519424
297,50151.7543296
298,50154.391296
299,50154.4939904
300,50154.5962368
301,50154.6989184
302,50154.7757824
303,50154.8780672
304,50155.3653504
305,50155.4668672
306,50155.5690368
307,50155.6720128
308,50155.7741696
309,50155.8762624
310,50188.5186816
311,50189.6199808
312,50189.722624
313,50189.8243328
314,50189.9267456
315,50241.6180736
316,50241.7196544
317,50242.9739392
318,50243.0771072
319,50243.1794688
320,50245.892736
321,50245.9952384
322,50246.098496
323,50246.1741696
324,50246.2766208
325,50246.3800704
326,50248.4014976
327,50248.4787584
328,50248.5808
329,50248.6830976
330,50248.7855104
331,50248.8895232
332,50325.4632576
333,50325.5659648
334,50326.539328
335,50326.640896
336,50326.7433216
337,50329.202816
338,50329.3035264
339,50329.405888
340,50329.5083264
341,50329.611136
342,50329.7132288
343,50330.1996032
344,50330.3021312
345,50330.4046208
346,50330.5067776
347,50330.5851136
348,50330.686208
349,50377.4874368
350,50378.7664512
351,50378.8689152
352,50378.9715712
353,50379.0760064
354,50443.9746944
355,50445.1267968
356,50445.229312
357,50445.3313536
358,50445.4337536
359,50638.8817664
360,50638.9845376
361,50639.9826944
362,50640.0860032
363,50640.1884032
364,50643.157696
365,50643.2596992
366,50643.3636992
367,50643.4646144
368,50643.5669376
369,50643.6696192
370,50644.1561088
371,50644.2588416
372,50644.3626624
373,50644.4631168
374,50644.5659904
375,50644.6421504
376,50677.1825664
377,50678.3599232
378,50678.4626432
379,50678.56512
380,50678.6673664
381,50704.5766144
382,50705.6778112
383,50705.7539584
384,50705.8563712
385,50705.9587456
386,50740.9057024
387,50742.2110848
388,50742.3134976
389,50742.3906816
390,50742.4944256
391,50766.6865536
392,50766.7891072
393,50768.0946304
394,50768.1975296
395,50768.2997248
396,50771.0905216
397,50771.1930112
398,50771.294912
399,50771.3972864
400,50771.4997504
401,50771.6023296
402,50772.0899456
403,50772.1921152
404,50772.2678272
405,50772.3701504
406,50772.472512
407,50772.57504
408,50788.9858816
409,50790.2914816
410,50790.394048
411,50790.4964992
412,50790.5987328
413,50803.1952128
414,50803.29792
415,50804.7057024
416,50804.8086144
