,Timestamp
0,51290.56815
1,51290.67013
2,51291.65519
3,51291.7572
4,51291.8591
5,51291.96146
6,51334.94737
7,51335.97341
8,51336.07387
9,51336.17618
10,51340.88663
11,51340.96457
12,51341.04095
13,51341.11745
14,51341.21944
15,51343.16813
16,51343.24221
17,51343.3444
18,51343.44682
19,51343.54921
20,51343.6516
21,51380.18584
22,51381.18397
23,51381.28774
24,51381.38877
25,51383.97453
26,51384.05233
27,51384.12826
28,51384.23071
29,51384.30904
30,51406.24837
31,51406.35059
32,51406.45361
33,51406.5554
34,51406.63254
35,51406.73462
36,51441.96303
37,51443.47329
38,51443.57564
39,51443.67814
40,51446.31502
41,51446.39185
42,51446.46868
43,51446.54746
44,51446.6223
45,51467.79539
46,51467.89743
47,51467.99996
48,51468.10273
49,51468.20471
50,51468.2832
51,51485.23011
52,51486.38217
53,51486.48435
54,51486.58815
55,51489.22396
56,51489.30058
57,51489.3774
58,51489.45475
59,51489.53096
60,51594.11451
61,51594.21697
62,51594.31969
63,51594.42176
64,51594.52631
65,51594.62674
66,51616.28632
67,51617.77093
68,51617.87302
69,51617.97545
70,51620.69011
71,51620.76639
72,51620.84291
73,51620.91978
74,51620.99647
75,51631.85165
76,51631.95596
77,51632.05647
78,51632.15889
79,51632.2626
80,51632.33809
81,51649.59372
82,51649.69644
83,51651.15612
84,51651.25795
85,51651.36024
86,51651.463
87,51855.38228
88,51857.27649
89,51857.37862
90,51857.48179
91,51860.06659
92,51860.14481
93,51860.22022
94,51860.29728
95,51860.37554
96,51867.59369
97,51867.69592
98,51867.79839
99,51867.90212
100,51868.00317
101,51868.10591
102,51979.39718
103,51979.49924
104,51980.62579
105,51980.72817
106,51980.83059
107,51980.93303
108,52042.99219
109,52043.09495
110,52044.11889
111,52044.22085
112,52044.32485
113,52044.42572
114,52058.86532
115,52058.96746
116,52060.09416
117,52060.19639
118,52060.29887
119,52060.40118
120,52081.3947
121,52083.05924
122,52083.1616
123,52083.23816
124,52088.02559
125,52088.10254
126,52088.17928
127,52088.25745
128,52088.3328
129,52122.71619
130,52122.79299
131,52122.89605
132,52122.99773
133,52123.10022
134,52123.20305
135,52386.00585
136,52386.10972
137,52387.13329
138,52387.23501
139,52387.33825
140,52387.41678
141,52480.88669
142,52480.98961
143,52482.19229
144,52482.29449
145,52482.39734
146,52482.49933
147,52504.41554
148,52505.41299
149,52505.51539
150,52505.61791
151,52508.17804
152,52508.25613
153,52508.33164
154,52508.40842
155,52508.48526
156,52521.61907
157,52521.72242
158,52521.79818
159,52521.90058
160,52522.003
161,52522.10574
162,52543.6622
163,52544.94228
164,52545.04557
165,52545.14714
166,52548.24509
167,52548.32173
168,52548.42414
169,52548.50227
170,52548.5781
171,52549.29464
172,52549.397
173,52549.49965
174,52549.60209
175,52549.70651
176,52549.78117
177,52564.24611
178,52565.55187
179,52565.65423
180,52565.75663
181,52568.37286
182,52568.44481
183,52568.52169
184,52568.59933
185,52568.67688
186,54218.43768
187,54218.53876
188,54218.64105
189,54218.74381
190,54218.84589
191,54218.94825
192,54230.21329
193,54231.87741
194,54231.97966
195,54232.08215
196,54234.69553
197,54234.77023
198,54234.84739
199,54234.92507
200,54235.02816
201,54237.25363
202,54237.35604
203,54237.45875
204,54237.56132
205,54237.66327
206,54237.76705
207,54280.39284
208,54281.67296
209,54281.77624
210,54281.87828
211,54284.54129
212,54284.61732
213,54284.69449
214,54284.77101
215,54284.84829
216,54286.25587
217,54286.35808
218,54286.46049
219,54286.56296
220,54286.66538
221,54286.76777
222,54316.80003
223,54318.00233
224,54318.10458
225,54318.20923
226,54320.8183
227,54320.89508
228,54320.97194
229,54321.04927
230,54321.12552
231,54321.61212
232,54321.71469
233,54321.81873
234,54321.91926
235,54322.02159
236,54322.09841
237,54335.05293
238,54335.1554
239,54336.28187
240,54336.35868
241,54336.46252
242,54336.56361
243,54360.47665
244,54360.57805
245,54362.03735
246,54362.14542
247,54362.21656
248,54362.319
249,54377.11689
250,54379.52351
251,54379.60028
252,54379.70268
253,54384.43903
254,54384.51587
255,54384.59331
256,54384.66953
257,54384.77187
258,54403.71729
259,54403.82001
260,54403.92216
261,54404.0245
262,54404.12689
263,54404.22977
264,54630.78092
265,54630.88311
266,54632.26566
267,54632.368
268,54632.47137
269,54632.57284
270,55064.4788
271,55065.91227
272,55066.0139
273,55066.11613
274,55071.9274
275,55072.00534
276,55072.08113
277,55072.15818
278,55072.26022
279,55085.62438
280,55085.72682
281,55085.82958
282,55085.9318
283,55086.03446
284,55086.13654
285,55108.17971
286,55109.28056
287,55109.38299
288,55109.48545
289,55112.14839
290,55112.2252
291,55112.30162
292,55112.37885
293,55112.45523
294,55121.46711
295,55121.57156
296,55121.67305
297,55121.77439
298,55121.87694
299,55121.97919
300,55158.4363
301,55159.46038
302,55159.56293
303,55159.66518
304,55162.40492
305,55162.48156
306,55162.58729
307,55162.66143
308,55162.73743
309,55167.26908
310,55167.37171
311,55167.47529
312,55167.57724
313,55167.67863
314,55167.75566
315,55539.9822
316,55541.74899
317,55541.85074
318,55541.9531
319,55544.82052
320,55544.89733
321,55544.97417
322,55545.051
323,55545.12777
324,55545.76847
325,55545.87057
326,55545.97293
327,55546.07539
328,55546.17742
329,55546.28108
330,55573.98111
331,55575.54303
332,55575.61985
333,55575.72218
334,55578.20549
335,55578.28228
336,55578.35909
337,55578.43624
338,55578.51387
339,55579.89517
340,55579.9985
341,55580.10002
342,55580.20406
343,55580.27919
344,55580.38189
345,55605.49709
346,55606.64923
347,55606.72791
348,55606.82872
349,55613.61441
350,55613.71547
351,55613.79348
352,55613.86966
353,55613.94572
354,55991.52291
355,55991.62536
356,55991.72773
357,55991.83018
358,55991.93412
359,55992.03508
360,56260.62607
361,56261.95639
362,56262.05862
363,56262.16124
364,56264.74682
365,56264.82355
366,56264.90036
367,56264.97756
368,56265.05431
369,56926.30094
370,56926.40342
371,56926.50551
372,56926.60877
373,56926.68564
374,56926.78749
