,Timestamp
0,50294.2658944
1,50294.3663872
2,50295.723712
3,50295.8257408
4,50295.9286272
5,50300.6138368
6,50300.6901888
7,50300.7926784
8,50300.8951552
9,50300.9972608
10,50302.2779008
11,50302.3807488
12,50302.483648
13,50302.5590528
14,50302.66144
15,50302.764224
16,50320.1224704
17,50320.2242944
18,50321.2483456
19,50321.3511168
20,50321.4531584
21,50324.0903552
22,50324.1925888
23,50324.2970112
24,50324.397376
25,50324.5008768
26,50326.266304
27,50326.3687296
28,50326.4718848
29,50326.5737728
30,50326.6768896
31,50326.7784448
32,50390.6037504
33,50390.6807808
34,50392.139904
35,50392.242304
36,50392.345088
37,50394.9563904
38,50395.0586368
39,50395.1608704
40,50395.2633344
41,50395.3657344
42,50397.7722496
43,50397.8749952
44,50397.9785088
45,50398.0799104
46,50398.1821824
47,50398.2587776
48,50517.180032
49,50517.2830848
50,50518.3057664
51,50518.4082048
52,50518.5113984
53,50521.173184
54,50521.2500224
55,50521.3524096
56,50521.4553216
57,50521.5581952
58,50525.1926912
59,50525.2952448
60,50525.3974912
61,50525.4998912
62,50525.602304
63,50525.7047296
64,50609.8836224
65,50609.986176
66,50611.57344
67,50611.6758656
68,50611.7781888
69,50614.3915008
70,50614.4922624
71,50614.5943808
72,50614.6967936
73,50614.7995392
74,50622.5823488
75,50622.6846208
76,50622.7879424
77,50622.8915328
78,50622.9922048
79,50623.094208
80,50672.1987072
81,50672.300992
82,50674.477504
83,50674.5818112
84,50674.6829184
85,50677.7799296
86,50677.8821632
87,50677.984576
88,50678.0869632
89,50678.1897088
90,50679.7768704
91,50679.8791936
92,50679.981568
93,50680.0839296
94,50680.186752
95,50680.2911616
96,50757.0431232
97,50757.1464576
98,50758.1703552
99,50758.2719872
100,50758.3744512
101,50763.2643584
102,50763.3421056
103,50763.443584
104,50763.5464832
105,50763.648512
106,50768.7943808
107,50768.8967808
108,50768.9992064
109,50769.1019136
110,50769.2042368
111,50769.3067264
112,50803.6385408
113,50803.7410816
114,50804.7407616
115,50804.8421888
116,50804.9459712
117,50807.6069888
118,50807.7095296
119,50807.8126976
120,50807.8903296
121,50807.9909632
122,50809.5781376
123,50809.6809216
124,50809.7840896
125,50809.8853632
126,50809.9878144
127,50810.0902528
128,50967.9002368
129,50968.0029312
130,50970.1532416
131,50970.2555136
132,50970.3585792
133,50972.9949568
134,50973.097344
135,50973.1997696
136,50973.3021312
137,50973.4045696
138,50979.6796544
139,50979.7795712
140,50979.8826624
141,50979.9842304
142,50980.0866432
143,50980.1891456
144,51043.75968
145,51043.8609408
146,51045.2691456
147,51045.3729792
148,51045.4747648
149,51048.1108352
150,51048.213248
151,51048.3158144
152,51048.4183936
153,51048.4953856
154,51055.6127616
155,51055.7145856
156,51055.818496
157,51055.9207296
158,51056.023744
159,51056.1242752
160,51176.4018688
161,51176.50432
162,51177.7843968
163,51177.8871296
164,51177.9892096
165,51180.6518016
166,51180.7543424
167,51180.856896
168,51180.9590656
169,51181.0618752
170,51182.6743296
171,51182.7767424
172,51182.8803968
173,51182.9820928
174,51183.0840576
175,51183.1867136
176,51204.0029824
177,51204.103104
178,51205.9980544
179,51206.1002112
180,51206.2024832
181,51208.917504
182,51209.0189952
183,51209.0967296
184,51209.1979264
185,51209.3007488
186,51211.6560768
187,51211.7598208
188,51211.86048
189,51211.9633024
190,51212.0674048
191,51212.142144
192,51282.8289536
193,51282.9060608
194,51284.6467328
195,51284.7493504
196,51284.8515072
197,51287.4375936
198,51287.5398144
199,51287.6423296
200,51287.7445632
201,51287.84704
202,51289.997568
203,51290.1006848
204,51290.202368
205,51290.3047424
206,51290.4071552
207,51290.5096832
208,51340.9984384
209,51341.0989184
210,51342.1243136
211,51342.2267264
212,51342.3277568
213,51345.0674816
214,51345.1697664
215,51345.2464512
216,51345.3487872
217,51345.4512128
218,51349.829696
219,51349.9316224
220,51350.0339968
221,51350.1365888
222,51350.2396672
223,51350.3419136
224,51381.396608
225,51382.5230464
226,51382.6251264
227,51382.702592
228,51382.8044544
229,51398.31936
230,51398.4215808
231,51399.4459264
232,51399.5484416
233,51399.6512768
234,51402.3387392
235,51402.4154624
236,51402.5178368
237,51402.620736
238,51402.7226752
239,51403.8747648
240,51403.9778048
241,51404.0797056
242,51404.1819904
243,51404.2864384
244,51404.3611648
245,51430.5264128
246,51431.8577024
247,51431.9603072
248,51432.0627328
249,51432.1648384
250,51492.637568
251,51493.839808
252,51493.9422464
253,51494.0191872
254,51494.1215744
255,51522.897984
256,51524.1271936
257,51524.229312
258,51524.3317504
259,51524.4346624
260,51665.6286336
261,51665.7313792
262,51667.3440512
263,51667.4463488
264,51667.5489152
265,51670.0324992
266,51670.1093376
267,51670.211456
268,51670.3141376
269,51670.416256
270,51675.1530112
271,51675.2549504
272,51675.3574144
273,51675.4598272
274,51675.5621888
275,51675.6651904
276,51691.2052992
277,51691.3075584
278,51692.8438144
279,51692.9472768
280,51693.0485632
281,51695.7876736
282,51695.8905216
283,51695.9924864
284,51696.0960512
285,51696.1973888
